"timestamp";"severity";"category";"thread";"logmessage"
"2019-06-23 06:41:19,597";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-4";"WFLYSRV0028: Stopped deployment csvcompare.war (runtime-name: csvcompare.war) in 66ms"
"2019-06-23 06:41:19,629";"WARN";"org.jboss.as.controller";"DeploymentScanner-threads - 1";"WFLYCTL0357: Notification of type deployment-undeployed is not described for the resource at the address []"
"2019-06-23 06:41:19,629";"INFO";"org.jboss.as.server";"DeploymentScanner-threads - 1";"WFLYSRV0009: Undeployed ""csvcompare.war"" (runtime-name: ""csvcompare.war"")"
"2019-06-23 06:41:24,661";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 2";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:41:24,661";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-8";"WFLYSRV0027: Starting deployment of ""csvcompare.war"" (runtime-name: ""csvcompare.war"")"
"2019-06-23 06:41:25,070";"INFO";"org.jboss.weld.deployer";"MSC service thread 1-5";"WFLYWELD0003: Processing weld deployment csvcompare.war"
"2019-06-23 06:41:25,085";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-5";"WFLYEJB0473: JNDI bindings for session bean named 'CsvQuery' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
"2019-06-23 06:41:25,085";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-5";"WFLYEJB0473: JNDI bindings for session bean named 'CsvLoad' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
"2019-06-23 06:41:25,085";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-5";"WFLYEJB0473: JNDI bindings for session bean named 'CsvStatistic' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
"2019-06-23 06:41:25,085";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-5";"WFLYEJB0473: JNDI bindings for session bean named 'CsvCompare' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
"2019-06-23 06:41:25,132";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 97";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
"2019-06-23 06:41:25,132";"INFO";"org.infinispan.configuration.cache.EvictionConfigurationBuilder";"ServerService Thread Pool -- 97";"ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated."
"2019-06-23 06:41:25,148";"INFO";"org.jboss.as.clustering.infinispan";"ServerService Thread Pool -- 97";"WFLYCLINF0002: Started client-mappings cache from ejb container"
"2019-06-23 06:41:25,163";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-5";"WFLYJCA0004: Deploying JDBC-compliant driver class org.h2.Driver (version 1.4)"
"2019-06-23 06:41:25,179";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-8";"WFLYJCA0018: Started Driver service with driver-name = csvcompare.war_org.h2.Driver_1_4"
"2019-06-23 06:41:25,593";"INFO";"org.omnifaces.ApplicationInitializer";"ServerService Thread Pool -- 95";"Using OmniFaces version 2.7.1"
"2019-06-23 06:41:25,624";"INFO";"javax.enterprise.resource.webcontainer.jsf.config";"ServerService Thread Pool -- 95";"Initializing Mojarra 2.2.13.SP1 20160303-1204 for context '/csvcompare'"
"2019-06-23 06:41:25,954";"INFO";"org.wildfly.extension.undertow";"ServerService Thread Pool -- 95";"WFLYUT0021: Registered web context: /csvcompare"
"2019-06-23 06:41:25,980";"INFO";"org.jboss.as.server";"DeploymentScanner-threads - 1";"WFLYSRV0010: Deployed ""csvcompare.war"" (runtime-name : ""csvcompare.war"")"
"2019-06-23 06:41:36,019";"ERROR";"org.jboss.as.ejb3.invocation";"default task-45";"WFLYEJB0034: EJB Invocation failed on component CsvStatistic for method public java.util.List org.huberb.csvcompare.war.service.CsvStatistic.queryData(java.lang.String) throws java.sql.SQLException,java.io.IOException: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:41:36,076";"WARNING";"javax.enterprise.resource.webcontainer.jsf.lifecycle";"default task-45";"#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException: javax.faces.FacesException: #{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:41:36,219";"FATAL";"javax.enterprise.resource.webcontainer.jsf.context";"default task-45";"JSF1073: javax.faces.FacesException caught during processing of INVOKE_APPLICATION 5 : UIComponent-ClientId=, Message=#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:41:36,224";"FATAL";"javax.enterprise.resource.webcontainer.jsf.context";"default task-45";"#{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException: javax.faces.FacesException: #{csvStatisticController.queryAction()}: javax.ejb.EJBException: java.lang.UnsupportedOperationException"
"2019-06-23 06:42:56,280";"INFO";"org.jboss.as.connector.deployers.jdbc";"MSC service thread 1-6";"WFLYJCA0019: Stopped Driver service with driver-name = csvcompare.war_org.h2.Driver_1_4"
"2019-06-23 06:42:56,311";"INFO";"org.wildfly.extension.undertow";"ServerService Thread Pool -- 98";"WFLYUT0022: Unregistered web context: /csvcompare"
"2019-06-23 06:42:56,552";"INFO";"org.jboss.as.clustering.infinispan";"ServerService Thread Pool -- 102";"WFLYCLINF0003: Stopped client-mappings cache from ejb container"
"2019-06-23 06:42:56,556";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-8";"WFLYSRV0028: Stopped deployment csvcompare.war (runtime-name: csvcompare.war) in 274ms"
"2019-06-23 06:42:56,585";"WARN";"org.jboss.as.controller";"DeploymentScanner-threads - 1";"WFLYCTL0357: Notification of type deployment-undeployed is not described for the resource at the address []"
"2019-06-23 06:42:56,586";"INFO";"org.jboss.as.server";"DeploymentScanner-threads - 1";"WFLYSRV0009: Undeployed ""csvcompare.war"" (runtime-name: ""csvcompare.war"")"
"2019-06-23 06:43:01,595";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 2";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:43:11,629";"INFO";"org.jboss.as.server.deployment.scanner";"DeploymentScanner-threads - 2";"WFLYDS0004: Found csvcompare.war in deployment directory. To trigger deployment create a file called csvcompare.war.dodeploy"
"2019-06-23 06:43:16,681";"INFO";"org.jboss.as.server.deployment";"MSC service thread 1-2";"WFLYSRV0027: Starting deployment of ""csvcompare.war"" (runtime-name: ""csvcompare.war"")"
"2019-06-23 06:43:17,024";"INFO";"org.jboss.weld.deployer";"MSC service thread 1-4";"WFLYWELD0003: Processing weld deployment csvcompare.war"
"2019-06-23 06:43:17,024";"INFO";"org.jboss.as.ejb3.deployment";"MSC service thread 1-4";"WFLYEJB0473: JNDI bindings for session bean named 'CsvQuery' in deployment unit 'deployment ""csvcompare.war""' are as follows:"
